Student_ID	Time	Detector_Name	Value
Stu_03ef59969b343a3ad2e98e3eca8366ff	2020-03-11T12:35:30.380Z	critical_struggle	0, > 0 s,  [[0,0,0,0,0,0],{"combine-like-const/":[1,0.68],"subtraction-const/":[1,0.68]},null,{"combine-like-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.68},"subtraction-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.68}}]
Stu_03ef59969b343a3ad2e98e3eca8366ff	2020-03-11T12:35:32.616Z	critical_struggle	0, > 0 s,  [[0,0,0,0,0,0],{"combine-like-const/":[1,0.68],"subtraction-const/":[1,0.68],"cancel-const/":[1,0.68]},null,{"combine-like-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.68},"subtraction-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.68},"cancel-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.68}}]
Stu_03ef59969b343a3ad2e98e3eca8366ff	2020-03-11T12:35:46.544Z	critical_struggle	0, > 0 s,  [[0,0,0,0,0,0],{"combine-like-const/":[2,0.92],"subtraction-const/":[2,0.92],"cancel-const/":[1,0.68]},null,{"combine-like-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.92},"subtraction-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.92},"cancel-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.68}}]
Stu_03ef59969b343a3ad2e98e3eca8366ff	2020-03-11T12:35:48.435Z	critical_struggle	0, > 0 s,  [[0,0,0,0,0,0],{"combine-like-const/":[2,0.92],"subtraction-const/":[2,0.92],"cancel-const/":[2,0.92]},null,{"combine-like-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.92},"subtraction-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.92},"cancel-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.92}}]
Stu_03ef59969b343a3ad2e98e3eca8366ff	2020-03-11T12:36:00.433Z	critical_struggle	0, > 0 s,  [[0,0,0,0,0,0],{"combine-like-const/":[3,0.98],"subtraction-const/":[3,0.98],"cancel-const/":[2,0.92]},null,{"combine-like-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.98},"subtraction-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.98},"cancel-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.92}}]
Stu_03ef59969b343a3ad2e98e3eca8366ff	2020-03-11T12:36:02.204Z	critical_struggle	0, > 0 s,  [[0,0,0,0,0,0],{"combine-like-const/":[3,0.98],"subtraction-const/":[3,0.98],"cancel-const/":[3,0.98]},null,{"combine-like-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.98},"subtraction-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.98},"cancel-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.98}}]
Stu_03ef59969b343a3ad2e98e3eca8366ff	2020-03-11T12:36:14.346Z	critical_struggle	0, > 0 s,  [[0,0,0,0,0,0],{"combine-like-const/":[3,0.98],"subtraction-const/":[4,0.99],"cancel-const/":[4,0.99]},null,{"combine-like-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.98},"subtraction-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.99},"cancel-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.99}}]
Stu_03ef59969b343a3ad2e98e3eca8366ff	2020-03-11T12:36:16.167Z	critical_struggle	0, > 0 s,  [[0,0,0,0,0,0],{"combine-like-const/":[4,0.99],"subtraction-const/":[4,0.99],"cancel-const/":[4,0.99]},null,{"combine-like-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.99},"subtraction-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.99},"cancel-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.99}}]
Stu_03ef59969b343a3ad2e98e3eca8366ff	2020-03-11T12:36:26.472Z	critical_struggle	0, > 0 s,  [[0,0,0,0,0,0],{"combine-like-const/":[5,0.99],"subtraction-const/":[5,0.99],"cancel-const/":[4,0.99]},null,{"combine-like-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.99},"subtraction-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.99},"cancel-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.99}}]
Stu_03ef59969b343a3ad2e98e3eca8366ff	2020-03-11T12:36:27.503Z	critical_struggle	0, > 0 s,  [[0,0,0,0,0,0],{"combine-like-const/":[5,0.99],"subtraction-const/":[5,0.99],"cancel-const/":[5,0.99]},null,{"combine-like-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.99},"subtraction-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.99},"cancel-const/":{"p_transit":0.2,"p_slip":0.1,"p_guess":0.2,"p_know":0.99}}]
